Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2012/13,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,31
2012/13,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,4
2012/13,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,4
2012/13,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2012/13,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Short-term,16
2012/13,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Full-time,1
2012/13,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2012/13,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,31
2012/13,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,42
2012/13,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,24
2012/13,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,44
2012/13,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2012/13,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2012/13,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,97
2012/13,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2012/13,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,31
2012/13,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,41
2012/13,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,5
2012/13,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2012/13,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,8
2012/13,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,2
2012/13,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,3
2012/13,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,12
2012/13,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,4
2012/13,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,3
2012/13,Lingnan University,Wholly self-financed,Junior Academic Staff,Short-term,33
2012/13,Lingnan University,Wholly self-financed,Senior Academic Staff,Part-time,1
2012/13,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,8
2012/13,Lingnan University,Wholly self-financed,Technical Research Staff,Part-time,1
2012/13,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,11
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,32
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,2
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,86
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,13
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,56
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,7
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,9
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,304
2012/13,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,100
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,378
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,26
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,135
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1151
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,9
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,562
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,19
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,141
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,275
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,143
2012/13,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,28
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,103
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,70
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,260
2012/13,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,580
2012/13,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,16
2012/13,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,15
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,43
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,42
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,176
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,10
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,494
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,1
2012/13,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,77
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,5
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,7
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,26
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,3
2012/13,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,33
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,100
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,36
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,22
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,110
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,209
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,104
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,42
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,6
2012/13,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,22
2012/13,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,20
2012/13,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,7
2012/13,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,34
2012/13,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,58
2012/13,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,2
2012/13,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,5
2012/13,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,4
2012/13,The Education University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,2
2012/13,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,40
2012/13,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,6
2012/13,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,23
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,19
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,14
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,6
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,17
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,13
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,88
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,10
2012/13,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,194
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,344
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,12
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,28
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,664
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,10
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,405
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,20
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,121
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,414
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,104
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,13
2012/13,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,156
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,67
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,9
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,17
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,199
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,60
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,57
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,39
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,7
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,127
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,24
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,9
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,231
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,37
2012/13,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Short-term,227
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Full-time,9
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Part-time,2
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Short-term,4
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,20
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,8
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Full-time,8
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Full-time,3
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Short-term,3
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Full-time,188
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Part-time,27
2012/13,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Short-term,94
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,213
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,18
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,35
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,378
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,83
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Full-time,198
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Part-time,2
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Short-term,11
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Full-time,277
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Short-term,7
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Full-time,235
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Part-time,12
2012/13,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Short-term,43
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Full-time,10
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Part-time,3
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Short-term,9
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,161
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,5
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,8
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Full-time,6
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Short-term,4
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Full-time,175
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Part-time,14
2012/13,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Short-term,56
2012/13,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,18
2012/13,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,3
2012/13,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,7
2012/13,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,54
2012/13,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2012/13,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,20
2012/13,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,60
2012/13,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,4
2012/13,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,2
2012/13,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,348
2012/13,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,14
2012/13,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,203
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,337
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,3
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,48
2012/13,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1188
2012/13,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2012/13,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,18
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,703
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,2
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,3
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,305
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,108
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,2
2012/13,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,79
2012/13,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,84
2012/13,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,28
2012/13,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,18
2012/13,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,510
2012/13,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,29
2012/13,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,40
2012/13,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,68
2012/13,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,2
2012/13,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,6
2012/13,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,11
2012/13,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Part-time,1
2012/13,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,455
2012/13,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,23
2012/13,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,207
2013/14,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2013/14,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,8
2013/14,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2013/14,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,85
2013/14,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,125
2013/14,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,8
2013/14,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,170
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,190
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,239
2013/14,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,467
2013/14,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,13
2013/14,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,373
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,449
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,14
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,298
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,11
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,150
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,7
2013/14,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,225
2013/14,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,8
2013/14,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,3
2013/14,City University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,1
2013/14,City University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,1
2013/14,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,110
2013/14,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,2
2013/14,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,68
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,3
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,2
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,7
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Full-time,20
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,9
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2013/14,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Short-term,1
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,112
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,86
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,6
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,170
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,7
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,233
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,115
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,67
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,32
2013/14,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,90
2013/14,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,137
2013/14,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,196
2013/14,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Short-term,18
2013/14,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,210
2013/14,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,21
2013/14,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,7
2013/14,Hong Kong Baptist University,Wholly self-financed,Junior Academic Staff,Full-time,23
2013/14,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Full-time,3
2013/14,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Full-time,102
2013/14,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Part-time,8
2013/14,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,48
2013/14,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1
2013/14,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2013/14,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Short-term,4
2013/14,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Full-time,1
2013/14,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2013/14,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,30
2013/14,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,42
2013/14,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,20
2013/14,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,48
2013/14,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2013/14,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2013/14,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,93
2013/14,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,1
2013/14,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,11
2013/14,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,43
2013/14,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,7
2013/14,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2013/14,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,7
2013/14,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,1
2013/14,Lingnan University,Wholly self-financed,Academic Supporting Staff,Full-time,1
2013/14,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,2
2013/14,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,15
2013/14,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,3
2013/14,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,2
2013/14,Lingnan University,Wholly self-financed,Junior Academic Staff,Short-term,64
2013/14,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,8
2013/14,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,15
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,31
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
